id,Outcome_M1,Outcome_M2,Outcome_M3,Outcome_M4,Outcome_M5,Outcome_M6,Outcome_M7,Outcome_M8,Outcome_M9,Outcome_M10,Outcome_M11,Outcome_M12
1,886.295703125,636.180517578125,316.4939453125,270.1474609375,215.818237304688,203.186303710937,194.725573730469,176.107861328125,175.432043457031,175.432043457031,175.432043457031,175.432043457031
2,676.971240234375,590.04580078125,378.237622070313,293.4462890625,236.842333984375,213.887719726562,199.146728515625,184.8232421875,184.147424316406,184.147424316406,184.147424316406,184.147424316406
3,646.7,531.92431640625,220.597924804687,202.30439453125,173.160192871094,162.047045898437,153.586315917969,134.968579101563,134.292761230469,134.292761230469,134.292761230469,134.292761230469
4,769.687451171875,588.834326171875,371.741430664062,357.103271484375,292.912744140625,265.79814453125,242.33896484375,220.5966796875,219.920849609375,219.920849609375,219.920849609375,219.920849609375
5,446.627587890625,338.230859375,199.282409667969,176.1326171875,137.625695800781,125.632800292969,117.172058105469,98.0194030761719,97.3435852050781,97.3435852050781,97.3435852050781,97.3435852050781
6,940.10166015625,495.579150390625,267.447216796875,239.3541015625,179.903332519531,167.91044921875,144.451330566406,127.960754394531,127.284936523437,127.284936523437,127.284936523437,127.284936523437
7,1086.016796875,657.546630859375,385.742431640625,347.145239257812,287.458349609375,229.125610351562,207.885668945312,195.480212402344,193.040759277344,191.109167480469,191.109167480469,191.109167480469
8,396.03544921875,315.7099609375,180.671557617187,162.377978515625,132.84326171875,120.850378417969,112.389611816406,93.2369812011719,92.5611633300781,92.5611633300781,92.5611633300781,92.5611633300781
9,1323.67255859375,780.335595703125,375.20166015625,288.540112304688,216.917749023437,198.733190917969,190.2724609375,171.654736328125,170.978918457031,170.978918457031,170.978918457031,170.978918457031
10,541.234716796875,367.20400390625,192.84541015625,174.551843261719,145.017126464844,133.024230957031,124.563488769531,105.41083984375,104.735021972656,104.735021972656,104.735021972656,104.735021972656
11,38723.6125,18437.7640625,5936.827734375,5570.062890625,4819.8265625,3722.23984375,3714.768359375,3651.471875,3575.651953125,3541.212890625,3541.212890625,3541.212890625
12,568.4453125,428.8283203125,282.990356445312,228.273852539062,188.884912109375,176.892016601562,168.431286621094,149.813549804688,149.137731933594,149.137731933594,149.137731933594,149.137731933594
13,3142.1646484375,1856.57890625,1262.45947265625,774.31669921875,431.64921875,310.597338867187,267.84560546875,256.53740234375,256.53740234375,256.53740234375,256.53740234375,256.53740234375
14,517.9865234375,462.8388671875,344.271362304688,279.743872070312,214.19365234375,186.165124511719,171.424096679687,151.313989257812,150.638171386719,150.638171386719,150.638171386719,150.638171386719
15,351.88037109375,305.617993164063,177.016418457031,158.7228515625,131.139233398438,119.146350097656,110.685571289062,91.5329528808594,90.8571350097656,90.8571350097656,90.8571350097656,90.8571350097656
16,438.40986328125,317.87158203125,182.833178710937,164.539611816406,135.004907226562,123.012023925781,114.55126953125,95.3986083984375,94.7227905273437,94.7227905273437,94.7227905273437,94.7227905273437
17,439.884765625,334.657836914062,211.391430664063,213.925854492188,202.2583984375,172.041418457031,137.591235351562,107.50146484375,106.825646972656,103.432702636719,103.432702636719,103.432702636719
18,483.55009765625,464.443994140625,361.2142578125,253.18662109375,205.736694335938,180.232092285156,165.491088867188,151.167578125,150.491760253906,150.491760253906,150.491760253906,150.491760253906
19,1181.71171875,681.924755859375,574.533154296875,567.7017578125,539.13203125,315.267700195312,268.03818359375,243.428271484375,240.988793945312,235.664306640625,235.664306640625,235.664306640625
